"StationCode","DateFormatted","DateTimeFormatted","Sal","DO_pct"
"apalmwq",2016-12-21,2016-12-21 21:45:00,0.1,74.4
"apalmwq",2016-12-21,2016-12-21 22:00:00,0.1,73.1
"apalmwq",2016-12-21,2016-12-21 22:15:00,0.1,76.8
"apalmwq",2016-12-21,2016-12-21 22:30:00,0.1,79.2
"apalmwq",2016-12-21,2016-12-21 22:45:00,0.1,80.3
"apalmwq",2016-12-21,2016-12-21 23:00:00,0.1,80.6
"apalmwq",2016-12-21,2016-12-21 23:15:00,0.1,80.3
"apalmwq",2016-12-21,2016-12-21 23:30:00,0.1,80.3
"apalmwq",2016-12-21,2016-12-21 23:45:00,0.1,80.1
"apalmwq",2016-12-22,2016-12-22 00:00:00,0.1,79.9
"apalmwq",2016-12-22,2016-12-22 00:15:00,0.1,79.4
"apalmwq",2016-12-22,2016-12-22 00:30:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 00:45:00,0.1,79
"apalmwq",2016-12-22,2016-12-22 01:00:00,0.1,78.8
"apalmwq",2016-12-22,2016-12-22 01:15:00,0.1,79
"apalmwq",2016-12-22,2016-12-22 01:30:00,0.1,78.9
"apalmwq",2016-12-22,2016-12-22 01:45:00,0.1,79.1
"apalmwq",2016-12-22,2016-12-22 02:00:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 02:15:00,0.1,79.3
"apalmwq",2016-12-22,2016-12-22 02:30:00,0.1,79.4
"apalmwq",2016-12-22,2016-12-22 02:45:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 03:00:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 03:15:00,0.2,78.6
"apalmwq",2016-12-22,2016-12-22 03:30:00,0.2,78.6
"apalmwq",2016-12-22,2016-12-22 03:45:00,0.3,78.7
"apalmwq",2016-12-22,2016-12-22 04:00:00,0.3,78.5
"apalmwq",2016-12-22,2016-12-22 04:15:00,0.3,78.5
"apalmwq",2016-12-22,2016-12-22 04:30:00,0.3,78.6
"apalmwq",2016-12-22,2016-12-22 04:45:00,0.3,78.6
"apalmwq",2016-12-22,2016-12-22 05:00:00,0.3,78.6
"apalmwq",2016-12-22,2016-12-22 05:15:00,0.3,78.9
"apalmwq",2016-12-22,2016-12-22 05:30:00,0.3,78.9
"apalmwq",2016-12-22,2016-12-22 05:45:00,0.2,78.9
"apalmwq",2016-12-22,2016-12-22 06:00:00,0.2,79
"apalmwq",2016-12-22,2016-12-22 06:15:00,0.2,79
"apalmwq",2016-12-22,2016-12-22 06:30:00,0.2,79.1
"apalmwq",2016-12-22,2016-12-22 06:45:00,0.2,79
"apalmwq",2016-12-22,2016-12-22 07:00:00,0.1,78.9
"apalmwq",2016-12-22,2016-12-22 07:15:00,0.1,78.8
"apalmwq",2016-12-22,2016-12-22 07:30:00,0.1,79.4
"apalmwq",2016-12-22,2016-12-22 07:45:00,0.1,79.4
"apalmwq",2016-12-22,2016-12-22 08:00:00,0.1,79.5
"apalmwq",2016-12-22,2016-12-22 08:15:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 08:30:00,0.1,78.6
"apalmwq",2016-12-22,2016-12-22 08:45:00,0.1,78.7
"apalmwq",2016-12-22,2016-12-22 09:00:00,0.1,78.5
"apalmwq",2016-12-22,2016-12-22 09:15:00,0.1,78.1
"apalmwq",2016-12-22,2016-12-22 09:30:00,0.1,76.8
"apalmwq",2016-12-22,2016-12-22 09:45:00,0.1,76.1
"apalmwq",2016-12-22,2016-12-22 10:00:00,0.1,75
"apalmwq",2016-12-22,2016-12-22 10:15:00,0.1,75.1
"apalmwq",2016-12-22,2016-12-22 10:30:00,0.1,75.7
"apalmwq",2016-12-22,2016-12-22 10:45:00,0.1,77.4
"apalmwq",2016-12-22,2016-12-22 11:00:00,0.1,77.1
"apalmwq",2016-12-22,2016-12-22 11:15:00,0.1,78.5
"apalmwq",2016-12-22,2016-12-22 11:30:00,0.1,78.8
"apalmwq",2016-12-22,2016-12-22 11:45:00,0.1,78.9
"apalmwq",2016-12-22,2016-12-22 12:00:00,0.1,79.1
"apalmwq",2016-12-22,2016-12-22 12:15:00,0.1,79.2
"apalmwq",2016-12-22,2016-12-22 12:30:00,0.1,79.3
"apalmwq",2016-12-22,2016-12-22 12:45:00,0.1,80.1
"apalmwq",2016-12-22,2016-12-22 13:00:00,0.1,80.4
"apalmwq",2016-12-22,2016-12-22 13:15:00,0.1,80.6
"apalmwq",2016-12-22,2016-12-22 13:30:00,0.1,80.8
"apalmwq",2016-12-22,2016-12-22 13:45:00,0.1,81.1
"apalmwq",2016-12-22,2016-12-22 14:00:00,0.1,81.6
"apalmwq",2016-12-22,2016-12-22 14:15:00,0.1,82.1
"apalmwq",2016-12-22,2016-12-22 14:30:00,0.1,82.7
"apalmwq",2016-12-22,2016-12-22 14:45:00,0.1,83.1
"apalmwq",2016-12-22,2016-12-22 15:00:00,0.1,83.1
"apalmwq",2016-12-22,2016-12-22 15:15:00,0.1,83.3
"apalmwq",2016-12-22,2016-12-22 15:30:00,0.1,83.5
"apalmwq",2016-12-22,2016-12-22 15:45:00,0.1,83.7
"apalmwq",2016-12-22,2016-12-22 16:00:00,0.1,83.8
"apalmwq",2016-12-22,2016-12-22 16:15:00,0.1,83.8
"apalmwq",2016-12-22,2016-12-22 16:30:00,0.1,83.9
"apalmwq",2016-12-22,2016-12-22 16:45:00,0.1,83.8
"apalmwq",2016-12-22,2016-12-22 17:00:00,0.1,83.9
"apalmwq",2016-12-22,2016-12-22 17:15:00,0.1,83.9
"apalmwq",2016-12-22,2016-12-22 17:30:00,0.1,83.9
"apalmwq",2016-12-22,2016-12-22 17:45:00,0.1,83.9
"apalmwq",2016-12-22,2016-12-22 18:00:00,0.1,83.8
"apalmwq",2016-12-22,2016-12-22 18:15:00,0.1,83.7
"apalmwq",2016-12-22,2016-12-22 18:30:00,0.1,83.6
"apalmwq",2016-12-22,2016-12-22 18:45:00,0.1,83.5
"apalmwq",2016-12-22,2016-12-22 19:00:00,0.1,83.4
"apalmwq",2016-12-22,2016-12-22 19:15:00,0.1,83.3
"apalmwq",2016-12-22,2016-12-22 19:30:00,0.1,83.2
"apalmwq",2016-12-22,2016-12-22 19:45:00,0.1,83
"apalmwq",2016-12-22,2016-12-22 20:00:00,0.1,82.8
"apalmwq",2016-12-22,2016-12-22 20:15:00,0.1,82.6
"apalmwq",2016-12-22,2016-12-22 20:30:00,0.1,82.1
"apalmwq",2016-12-22,2016-12-22 20:45:00,0.1,82.1
"apalmwq",2016-12-22,2016-12-22 21:00:00,0.1,81.2
"apalmwq",2016-12-22,2016-12-22 21:15:00,0.1,80.7
"apalmwq",2016-12-22,2016-12-22 21:30:00,0.1,80.7
"apalmwq",2016-12-22,2016-12-22 21:45:00,0.1,80.4
"apalmwq",2016-12-22,2016-12-22 22:00:00,0.1,80.3
"apalmwq",2016-12-22,2016-12-22 22:15:00,0.1,79.9
"apalmwq",2016-12-22,2016-12-22 22:30:00,0.1,79.3
"apalmwq",2016-12-22,2016-12-22 22:45:00,0.1,78
"apalmwq",2016-12-22,2016-12-22 23:00:00,0.1,77.5
"apalmwq",2016-12-22,2016-12-22 23:15:00,0.1,81.5
"apalmwq",2016-12-22,2016-12-22 23:30:00,0.1,81.6
"apalmwq",2016-12-22,2016-12-22 23:45:00,0.1,81.6
"apalmwq",2016-12-23,2016-12-23 00:00:00,0.1,81.3
"apalmwq",2016-12-23,2016-12-23 00:15:00,0.1,80.8
"apalmwq",2016-12-23,2016-12-23 00:30:00,0.1,80.4
"apalmwq",2016-12-23,2016-12-23 00:45:00,0.1,80.1
"apalmwq",2016-12-23,2016-12-23 01:00:00,0.1,79.9
"apalmwq",2016-12-23,2016-12-23 01:15:00,0.1,79.6
"apalmwq",2016-12-23,2016-12-23 01:30:00,0.1,79.6
"apalmwq",2016-12-23,2016-12-23 01:45:00,0.1,79.7
"apalmwq",2016-12-23,2016-12-23 02:00:00,0.1,79.6
"apalmwq",2016-12-23,2016-12-23 02:15:00,0.1,79.9
"apalmwq",2016-12-23,2016-12-23 02:30:00,0.1,80
"apalmwq",2016-12-23,2016-12-23 02:45:00,0.1,80.1
"apalmwq",2016-12-23,2016-12-23 03:00:00,0.1,80.1
"apalmwq",2016-12-23,2016-12-23 03:15:00,0.1,80
"apalmwq",2016-12-23,2016-12-23 03:30:00,0.1,80.1
"apalmwq",2016-12-23,2016-12-23 03:45:00,0.1,79.8
"apalmwq",2016-12-23,2016-12-23 04:00:00,0.2,79.3
"apalmwq",2016-12-23,2016-12-23 04:15:00,0.3,78.9
"apalmwq",2016-12-23,2016-12-23 04:30:00,0.3,78.6
"apalmwq",2016-12-23,2016-12-23 04:45:00,0.3,78.8
"apalmwq",2016-12-23,2016-12-23 05:00:00,0.3,78.8
"apalmwq",2016-12-23,2016-12-23 05:15:00,0.3,78.7
"apalmwq",2016-12-23,2016-12-23 05:30:00,0.3,78.8
"apalmwq",2016-12-23,2016-12-23 05:45:00,0.3,78.6
"apalmwq",2016-12-23,2016-12-23 06:00:00,0.3,78.9
"apalmwq",2016-12-23,2016-12-23 06:15:00,0.3,79.3
"apalmwq",2016-12-23,2016-12-23 06:30:00,0.3,79.5
"apalmwq",2016-12-23,2016-12-23 06:45:00,0.2,79.5
"apalmwq",2016-12-23,2016-12-23 07:00:00,0.2,79.6
"apalmwq",2016-12-23,2016-12-23 07:15:00,0.2,79.7
"apalmwq",2016-12-23,2016-12-23 07:30:00,0.2,79.7
"apalmwq",2016-12-23,2016-12-23 07:45:00,0.1,79.8
"apalmwq",2016-12-23,2016-12-23 08:00:00,0.1,79.7
"apalmwq",2016-12-23,2016-12-23 08:15:00,0.1,79.4
"apalmwq",2016-12-23,2016-12-23 08:30:00,0.1,79.4
"apalmwq",2016-12-23,2016-12-23 08:45:00,0.1,79.3
"apalmwq",2016-12-23,2016-12-23 09:00:00,0.1,79.2
"apalmwq",2016-12-23,2016-12-23 09:15:00,0.1,79.1
"apalmwq",2016-12-23,2016-12-23 09:30:00,0.1,78.8
"apalmwq",2016-12-23,2016-12-23 09:45:00,0.1,79.2
"apalmwq",2016-12-23,2016-12-23 10:00:00,0.1,79
"apalmwq",2016-12-23,2016-12-23 10:15:00,0.1,79
"apalmwq",2016-12-23,2016-12-23 10:30:00,0.1,79.1
"apalmwq",2016-12-23,2016-12-23 10:45:00,0.1,77.7
"apalmwq",2016-12-23,2016-12-23 11:00:00,0.1,76.7
"apalmwq",2016-12-23,2016-12-23 11:15:00,0.1,77
"apalmwq",2016-12-23,2016-12-23 11:30:00,0.1,76.6
"apalmwq",2016-12-23,2016-12-23 11:45:00,0.1,77.1
"apalmwq",2016-12-23,2016-12-23 12:00:00,0.1,78
"apalmwq",2016-12-23,2016-12-23 12:15:00,0.1,78.4
"apalmwq",2016-12-23,2016-12-23 12:30:00,0.1,79.2
"apalmwq",2016-12-23,2016-12-23 12:45:00,0.1,79
"apalmwq",2016-12-23,2016-12-23 13:00:00,0.1,79.2
"apalmwq",2016-12-23,2016-12-23 13:15:00,0.1,79.7
"apalmwq",2016-12-23,2016-12-23 13:30:00,0.1,80
"apalmwq",2016-12-23,2016-12-23 13:45:00,0.1,80.6
"apalmwq",2016-12-23,2016-12-23 14:00:00,0.1,80.7
"apalmwq",2016-12-23,2016-12-23 14:15:00,0.1,80.9
"apalmwq",2016-12-23,2016-12-23 14:30:00,0.1,80.9
"apalmwq",2016-12-23,2016-12-23 14:45:00,0.1,81.1
"apalmwq",2016-12-23,2016-12-23 15:00:00,0.1,81.6
"apalmwq",2016-12-23,2016-12-23 15:15:00,0.1,82.3
"apalmwq",2016-12-23,2016-12-23 15:30:00,0.1,82.6
"apalmwq",2016-12-23,2016-12-23 15:45:00,0.1,82.6
"apalmwq",2016-12-23,2016-12-23 16:00:00,0.1,82.4
"apalmwq",2016-12-23,2016-12-23 16:15:00,0.1,82.5
"apalmwq",2016-12-23,2016-12-23 16:30:00,0.1,83.1
"apalmwq",2016-12-23,2016-12-23 16:45:00,0.1,83.4
"apalmwq",2016-12-23,2016-12-23 17:00:00,0.1,83.6
"apalmwq",2016-12-23,2016-12-23 17:15:00,0.1,83.7
"apalmwq",2016-12-23,2016-12-23 17:30:00,0.1,83.8
"apalmwq",2016-12-23,2016-12-23 17:45:00,0.1,83.6
"apalmwq",2016-12-23,2016-12-23 18:00:00,0.1,83.6
"apalmwq",2016-12-23,2016-12-23 18:15:00,0.1,83.8
"apalmwq",2016-12-23,2016-12-23 18:30:00,0.1,83.7
"apalmwq",2016-12-23,2016-12-23 18:45:00,0.1,83.8
"apalmwq",2016-12-23,2016-12-23 19:00:00,0.1,83.7
"apalmwq",2016-12-23,2016-12-23 19:15:00,0.1,83.8
"apalmwq",2016-12-23,2016-12-23 19:30:00,0.1,83.8
"apalmwq",2016-12-23,2016-12-23 19:45:00,0.1,83.7
"apalmwq",2016-12-23,2016-12-23 20:00:00,0.1,83.5
"apalmwq",2016-12-23,2016-12-23 20:15:00,0.2,83.3
"apalmwq",2016-12-23,2016-12-23 20:30:00,0.2,83.1
"apalmwq",2016-12-23,2016-12-23 20:45:00,0.2,83
"apalmwq",2016-12-23,2016-12-23 21:00:00,0.2,82.6
"apalmwq",2016-12-23,2016-12-23 21:15:00,0.2,82.4
"apalmwq",2016-12-23,2016-12-23 21:30:00,0.2,81.9
"apalmwq",2016-12-23,2016-12-23 21:45:00,0.3,81.4
"apalmwq",2016-12-23,2016-12-23 22:00:00,0.3,81.1
"apalmwq",2016-12-23,2016-12-23 22:15:00,0.3,80.8
"apalmwq",2016-12-23,2016-12-23 22:30:00,0.3,80.8
"apalmwq",2016-12-23,2016-12-23 22:45:00,0.3,80.2
"apalmwq",2016-12-23,2016-12-23 23:00:00,0.3,79.3
"apalmwq",2016-12-23,2016-12-23 23:15:00,0.3,78.9
"apalmwq",2016-12-23,2016-12-23 23:30:00,0.3,77.9
"apalmwq",2016-12-23,2016-12-23 23:45:00,0.3,76.3
"apalmwq",2016-12-24,2016-12-24 00:00:00,0.3,79.8
"apalmwq",2016-12-24,2016-12-24 00:15:00,0.2,81
"apalmwq",2016-12-24,2016-12-24 00:30:00,0.3,81
"apalmwq",2016-12-24,2016-12-24 00:45:00,0.2,80.8
"apalmwq",2016-12-24,2016-12-24 01:00:00,0.3,80.3
"apalmwq",2016-12-24,2016-12-24 01:15:00,0.2,80.2
"apalmwq",2016-12-24,2016-12-24 01:30:00,0.1,80.5
"apalmwq",2016-12-24,2016-12-24 01:45:00,0.1,80.3
"apalmwq",2016-12-24,2016-12-24 02:00:00,0.1,80
"apalmwq",2016-12-24,2016-12-24 02:15:00,0.1,80.1
"apalmwq",2016-12-24,2016-12-24 02:30:00,0.1,80.3
"apalmwq",2016-12-24,2016-12-24 02:45:00,0.1,80.2
"apalmwq",2016-12-24,2016-12-24 03:00:00,0.1,80.4
"apalmwq",2016-12-24,2016-12-24 03:15:00,0.1,80.5
"apalmwq",2016-12-24,2016-12-24 03:30:00,0.1,80.6
"apalmwq",2016-12-24,2016-12-24 03:45:00,0.1,80.6
"apalmwq",2016-12-24,2016-12-24 04:00:00,0.1,80.7
"apalmwq",2016-12-24,2016-12-24 04:15:00,0.2,80
"apalmwq",2016-12-24,2016-12-24 04:30:00,0.2,79.9
"apalmwq",2016-12-24,2016-12-24 04:45:00,0.3,80
"apalmwq",2016-12-24,2016-12-24 05:00:00,0.3,80.2
"apalmwq",2016-12-24,2016-12-24 05:15:00,0.3,80.2
"apalmwq",2016-12-24,2016-12-24 05:30:00,0.3,80.2
"apalmwq",2016-12-24,2016-12-24 05:45:00,0.3,80.4
"apalmwq",2016-12-24,2016-12-24 06:00:00,0.3,80.3
"apalmwq",2016-12-24,2016-12-24 06:15:00,0.3,80.2
"apalmwq",2016-12-24,2016-12-24 06:30:00,0.3,80
"apalmwq",2016-12-24,2016-12-24 06:45:00,0.3,79.8
"apalmwq",2016-12-24,2016-12-24 07:00:00,0.3,80.4
"apalmwq",2016-12-24,2016-12-24 07:15:00,0.3,80.7
"apalmwq",2016-12-24,2016-12-24 07:30:00,0.3,80.9
"apalmwq",2016-12-24,2016-12-24 07:45:00,0.2,80.8
"apalmwq",2016-12-24,2016-12-24 08:00:00,0.2,80.8
"apalmwq",2016-12-24,2016-12-24 08:15:00,0.2,80.8
"apalmwq",2016-12-24,2016-12-24 08:30:00,0.2,81
"apalmwq",2016-12-24,2016-12-24 08:45:00,0.1,80.9
"apalmwq",2016-12-24,2016-12-24 09:00:00,0.1,80.6
"apalmwq",2016-12-24,2016-12-24 09:15:00,0.1,80.5
"apalmwq",2016-12-24,2016-12-24 09:30:00,0.1,80.6
"apalmwq",2016-12-24,2016-12-24 09:45:00,0.1,80.6
"apalmwq",2016-12-24,2016-12-24 10:00:00,0.1,80.7
"apalmwq",2016-12-24,2016-12-24 10:15:00,0.1,80.5
"apalmwq",2016-12-24,2016-12-24 10:30:00,0.1,80.1
"apalmwq",2016-12-24,2016-12-24 10:45:00,0.1,80
"apalmwq",2016-12-24,2016-12-24 11:00:00,0.1,79
"apalmwq",2016-12-24,2016-12-24 11:15:00,0.1,78.9
"apalmwq",2016-12-24,2016-12-24 11:30:00,0.1,78.5
"apalmwq",2016-12-24,2016-12-24 11:45:00,0.1,79
"apalmwq",2016-12-24,2016-12-24 12:00:00,0.1,78.3
"apalmwq",2016-12-24,2016-12-24 12:15:00,0.1,77.3
"apalmwq",2016-12-24,2016-12-24 12:30:00,0.1,78.3
"apalmwq",2016-12-24,2016-12-24 12:45:00,0.1,78.4
"apalmwq",2016-12-24,2016-12-24 13:00:00,0.1,78.7
"apalmwq",2016-12-24,2016-12-24 13:15:00,0.1,78.8
"apalmwq",2016-12-24,2016-12-24 13:30:00,0.1,79.4
"apalmwq",2016-12-24,2016-12-24 13:45:00,0.1,79.5
"apalmwq",2016-12-24,2016-12-24 14:00:00,0.1,80.3
"apalmwq",2016-12-24,2016-12-24 14:15:00,0.1,80.5
"apalmwq",2016-12-24,2016-12-24 14:30:00,0.1,81
"apalmwq",2016-12-24,2016-12-24 14:45:00,0.1,81.5
"apalmwq",2016-12-24,2016-12-24 15:00:00,0.1,81.4
"apalmwq",2016-12-24,2016-12-24 15:15:00,0.1,82.6
"apalmwq",2016-12-24,2016-12-24 15:30:00,0.1,82.8
"apalmwq",2016-12-24,2016-12-24 15:45:00,0.1,83
"apalmwq",2016-12-24,2016-12-24 16:00:00,0.1,83
"apalmwq",2016-12-24,2016-12-24 16:15:00,0.1,83.1
"apalmwq",2016-12-24,2016-12-24 16:30:00,0.1,83.3
